Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
7653,187,1.0,43.21462076509485,21.082945515723093,8.0,7,9.0,2003,0.041116354,B,B,53,14892,4,,1,4,B
13978,30,1.0,39.877152334710296,,1.0,18,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
4097,134,1.0,34.79956645506512,20.231580743695947,8.0,8,1.0,2019,0.212515361,B,B,19,3293,16,628.0,3,7,B
7638,53,3.0,80.41686352582073,80.40593351836998,1.0,5,18.0,2016,0.049637257,B,B,34,7759,0,229.0,1,3,B
2248,176,2.0,55.43949158213666,33.913863104540404,8.0,5,16.0,1986,0.08761909,B,B,8,1497,5,,1,0,B
13893,145,1.0,40.09348712283876,23.972398265932785,8.0,13,17.0,1986,0.0,B,B,30,5562,0,,0,5,A
13493,148,1.0,35.559182370248045,21.150997318509877,5.0,5,5.0,1963,0.313924552,B,B,22,4625,11,3855.0,2,10,B
12452,138,2.0,48.16233731929282,31.256560943114994,5.0,3,5.0,1962,0.014423114,B,B,19,3806,4,,0,3,B
3696,46,2.0,44.285160148367225,24.124580481348925,5.0,13,12.0,1975,0.188783766,B,B,31,6137,4,,0,1,B
1893,45,3.0,78.62813718906361,81.23486021087409,1.0,5,22.0,1977,0.195781053,B,B,23,5212,6,,3,2,B
14758,1,1.0,41.435648249008686,39.19279499664541,1.0,3,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
16730,99,3.0,62.56608122373083,41.58604575681378,8.0,3,9.0,1975,0.012338886,B,B,35,5776,1,2078.0,2,4,B
6924,27,2.0,67.3047933486833,,1.0,8,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
9991,27,3.0,78.03231040061465,,1.0,9,12.0,1977,0.072157581,B,B,2,629,1,,0,0,A
3430,22,2.0,46.87481903608061,34.54062555836462,5.0,3,5.0,1965,0.000995363,B,B,42,7651,1,,1,5,B
6858,52,3.0,85.34616905710234,,0.0,12,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
9895,62,3.0,86.14885214048262,,1.0,12,17.0,1977,0.072157581,B,B,2,629,1,,0,0,A
9719,78,3.0,84.35644857829261,49.81364347322672,10.0,20,22.0,2006,0.219006007,B,B,28,6746,3,,1,4,B
8920,27,2.0,57.35262187723146,59.9157716608651,10.0,12,10.0,2016,0.072157581,B,B,2,629,1,,0,0,A
6078,57,1.0,39.01076947548847,16.26927460511365,14.0,5,10.0,2005,0.090799103,B,B,74,19083,2,,5,15,B
2023,119,1.0,32.14923116902317,20.068613420526315,5.0,5,9.0,1965,0.000995363,B,B,42,7651,1,,1,5,B
14632,39,3.0,62.81371228428085,44.38302796168093,6.0,9,9.0,1972,0.428825818,B,B,25,5011,8,730.0,0,2,B
4207,1,3.0,65.9095849051531,37.7101473131709,8.0,16,14.0,1990,0.025609157,B,B,33,5261,0,240.0,3,1,B
9189,169,3.0,61.83123391062148,44.143243804729615,5.0,9,9.0,1977,0.300322518,B,B,52,10311,6,,1,9,B
3650,41,2.0,45.59388649772253,31.26276780743852,5.0,11,12.0,1968,0.175054867,B,B,36,10055,3,,1,0,B
6693,46,2.0,48.08553978828815,35.821461453414564,5.0,10,9.0,1966,0.188783766,B,B,31,6137,4,,0,1,B
14191,9,3.0,74.31162594106715,48.95848523414968,8.0,9,14.0,1993,0.161531741,B,B,25,5648,1,30.0,2,4,B
2033,129,2.0,42.184795138009655,24.82081322609951,7.0,3,12.0,1967,0.460556389,B,B,20,4386,14,,1,5,B
13888,60,1.0,33.519252927318256,22.906889430906983,5.0,4,9.0,1963,0.341071945,B,B,27,5664,48,2300.0,3,11,B
12212,27,2.0,69.23909060261579,,10.0,16,16.0,1977,0.072157581,B,B,2,629,1,,0,0,A
6851,20,2.0,40.14649936004989,27.535502343824447,6.0,6,17.0,1973,0.019508796,B,B,37,7687,11,176.0,5,5,B
14789,29,1.0,33.24379854878667,21.541543297186188,5.0,3,9.0,1965,0.069660344,B,B,31,6119,4,,1,2,B
7529,27,1.0,34.55990593118337,,1.0,25,25.0,1977,0.072157581,B,B,2,629,1,,0,0,A
10667,34,3.0,79.01841304949977,49.61311466141885,10.0,11,14.0,1997,0.069753361,B,B,53,13670,4,,1,11,B
3936,139,3.0,58.36714013349357,48.31652049300085,5.0,3,5.0,1962,0.122090347,B,B,29,6566,7,1894.0,4,0,B
16220,82,3.0,70.98756330278698,49.74822152548919,7.0,13,16.0,1986,0.037316452,B,B,32,6748,93,562.0,4,10,B
4009,88,2.0,46.07802588907847,28.020709909138727,6.0,13,12.0,1974,0.127375905,B,B,43,8429,3,,3,9,B
8432,52,2.0,65.43531192048978,66.84014043162317,1.0,13,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
507,98,2.0,38.10134253471953,25.170594404952183,6.0,11,14.0,1974,0.195781053,B,B,23,5212,6,,3,2,B
7749,119,3.0,109.36999965088243,35.309621720079065,11.0,7,24.0,2000,0.000995363,B,B,42,7651,1,,1,5,B
10734,101,4.0,76.27822672076553,54.41156273153807,9.0,12,12.0,1974,0.225824954,A,B,41,6558,7,1548.0,3,2,B
8908,22,2.0,67.12119392642221,,1.0,15,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
8884,47,2.0,44.82819747726303,31.974486374710864,5.0,4,5.0,1968,0.298204575,B,B,16,4048,3,,1,3,B
3798,30,2.0,39.18758707431647,5.199864262570773,1.0,4,1.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
9281,85,1.0,28.240534279011587,12.375011438203124,6.0,6,9.0,1978,0.037177818,B,B,52,11217,1,2300.0,1,7,B
13489,8,2.0,55.994646279670846,30.43115579386288,10.0,3,20.0,2008,0.458174486,B,A,26,4439,1,1130.0,1,5,B
15350,47,3.0,67.67663405686399,41.15693948167829,7.0,12,12.0,1980,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
7455,36,2.0,38.24668870871138,26.731413504952048,7.0,6,9.0,1965,0.08761909,B,B,8,1497,5,,1,0,B
1068,8,3.0,74.65045894705932,50.084349927200506,9.0,9,14.0,1977,0.458174486,B,A,26,4439,1,1130.0,1,5,B
8352,23,2.0,65.87010890502282,67.6594496491698,0.0,3,3.0,2014,0.034656082,B,B,0,168,0,,0,0,B
97,53,3.0,84.37219968566154,57.18518046695963,12.0,16,24.0,2017,0.049637257,B,B,34,7759,0,229.0,1,3,B
3821,53,1.0,30.96612456567489,19.73219578065021,6.0,1,5.0,1961,0.049637257,B,B,34,7759,0,229.0,1,3,B
4848,42,2.0,62.87247781739398,36.81160736315323,1.0,3,12.0,2008,0.158249043,B,B,21,5731,0,,1,0,B
12713,6,3.0,79.95841647284678,,1.0,26,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
5043,29,2.0,42.489787935475455,30.99544356195458,5.0,9,5.0,1965,0.069660344,B,B,31,6119,4,,1,2,B
4720,11,1.0,35.62432828179276,21.286495738789423,10.0,6,12.0,1975,0.012338886,B,B,35,5776,1,2078.0,2,4,B
7438,1,2.0,63.51375386290896,,1.0,2,20.0,1977,0.007122317,B,B,1,264,0,,0,1,B
6427,35,1.0,34.78264511693794,18.128566770165705,7.0,9,9.0,1971,0.089039719,B,B,33,7976,5,,0,11,B
7936,23,1.0,42.433915431779496,39.95955691843428,9.0,3,17.0,2015,0.034656082,B,B,0,168,0,,0,0,B
7451,140,2.0,43.542745218512096,27.841179037582503,5.0,3,5.0,1964,0.0,B,B,33,7425,1,,2,5,B
2449,1,1.0,66.42658474782806,,0.0,14,0.0,1977,0.007122317,B,B,1,264,0,,0,1,B
2954,101,2.0,66.37993522789452,37.189996377501394,6.0,4,5.0,1957,0.225824954,A,B,41,6558,7,1548.0,3,2,B
16054,20,2.0,58.36126831035615,35.65718405447356,8.0,9,9.0,1978,0.019508796,B,B,37,7687,11,176.0,5,5,B
7394,148,3.0,79.67085654838417,48.503318502740136,6.0,18,33.0,2015,0.313924552,B,B,22,4625,11,3855.0,2,10,B
1779,29,1.0,43.610767135670784,16.26838735605571,9.0,7,17.0,2014,0.069660344,B,B,31,6119,4,,1,2,B
6948,74,2.0,74.86889728153449,,1.0,9,17.0,1977,0.309479124,B,B,35,7715,4,990.0,0,6,B
15147,6,2.0,63.367317200458295,40.99588011533297,10.0,4,17.0,2018,0.243204519,B,B,5,1564,0,540.0,0,0,B
16788,74,1.0,48.76315544266704,47.20973768307008,1.0,7,10.0,2015,0.075778755,B,B,6,1437,3,,0,2,B
1132,97,1.0,37.949478590856415,22.09386503932308,9.0,3,12.0,1974,0.306977489,B,B,27,5148,14,1575.0,5,7,B
12691,18,2.0,54.118200503187,30.99432610729178,8.0,11,17.0,1977,0.0,B,B,30,5562,0,,0,5,A
15482,111,2.0,60.31227852471061,35.07816643921586,10.0,24,22.0,1999,0.093442564,B,B,23,4635,5,3300.0,2,4,B
9837,25,3.0,118.75438778381636,67.49633649811514,12.0,14,25.0,2011,0.069753361,B,B,53,13670,4,,1,11,B
15858,9,5.0,97.53781458586472,63.57199680170848,8.0,5,14.0,1995,0.136244425,B,B,11,2370,0,,0,1,B
16477,30,2.0,67.25334974560576,,1.0,5,12.0,2013,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
11143,7,2.0,43.92019171835752,26.5787616455314,7.0,12,12.0,1965,0.035145267,B,B,42,9292,3,2620.0,0,3,B
14778,32,2.0,57.81089735079002,35.55841295156005,10.0,18,22.0,2004,0.135649789,B,B,46,7960,6,350.0,3,11,B
7739,112,3.0,79.31488193056519,45.83916052553783,10.0,14,22.0,2009,0.069660344,B,B,31,6119,4,,1,2,B
4344,98,1.0,38.707027459407406,19.44645383481188,7.0,17,17.0,1991,0.089039719,B,B,33,7976,5,,0,11,B
13369,2,1.0,38.74085186671215,20.62711109181366,9.0,3,12.0,1967,0.0,B,B,33,7425,1,,2,5,B
15050,28,3.0,61.37808758991882,42.60584812249997,6.0,6,9.0,1971,0.118537385,B,B,30,6207,1,1183.0,1,0,B
2790,3,2.0,79.51024617457831,41.19045541037004,13.0,5,15.0,2013,0.050900058,B,B,43,10621,1,30.0,2,3,B
5851,126,2.0,43.4418493192298,28.86930015011006,5.0,3,5.0,1965,0.333891544,B,B,30,6564,1,,0,0,B
1910,41,2.0,46.607468340513286,28.5903093269278,5.0,6,9.0,1972,0.036122292,B,B,24,4378,0,1036.0,1,1,B
12505,8,2.0,54.47900316353508,33.470616877118374,8.0,12,17.0,2001,0.43788524,B,B,23,5735,3,1084.0,0,5,B
15613,32,1.0,35.99883862933943,17.060620852365545,5.0,2,5.0,1970,0.135649789,B,B,46,7960,6,350.0,3,11,B
11709,63,1.0,51.87244680148408,,1.0,23,22.0,2016,0.23861713,B,B,26,3889,6,705.0,3,6,B
9862,88,1.0,36.173504946841405,20.03631568958179,8.0,11,9.0,1974,0.127375905,B,B,43,8429,3,,3,9,B
12608,1,3.0,85.61318708970776,,1.0,13,6.0,1977,0.007122317,B,B,1,264,0,,0,1,B
16111,6,2.0,53.05353809944366,,1.0,3,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
15561,1,1.0,43.570333707682806,,0.0,19,20.0,1977,0.007122317,B,B,1,264,0,,0,1,B
11732,1,1.0,46.59728313118976,,1.0,17,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
16057,6,3.0,78.79039686733063,,0.0,3,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
6325,23,2.0,50.539480708707565,,1.0,4,12.0,2016,0.034656082,B,B,0,168,0,,0,0,B
9820,23,1.0,39.72742123300132,,1.0,14,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
13321,101,2.0,49.387965864877394,33.240340058033304,6.0,7,5.0,1965,0.225824954,A,B,41,6558,7,1548.0,3,2,B
13121,1,3.0,62.92999435890491,38.909846333966186,8.0,4,14.0,1993,0.025609157,B,B,33,5261,0,240.0,3,1,B
1411,84,2.0,40.80752091056026,27.676670006248685,5.0,2,8.0,1962,0.006076152,B,B,30,5285,0,645.0,6,6,B
988,90,2.0,54.84691283725718,31.739446074538776,8.0,6,16.0,1977,0.265088676,B,B,37,5288,0,1937.0,3,2,B
12960,42,2.0,62.09399269684086,33.06569656045394,11.0,6,9.0,2005,0.158249043,B,B,21,5731,0,,1,0,B
